"seq_dict_md","arbr_gen_dict_md","cle_dict_md","acr_dict_md","arbr_simpl_dic_md","abr_feuil_dict_md","def_dict_md","stat_dict_md","mot_cle_dict_md","seq_dict_md_pere","arbr_gen_pere_dict_md","id_ty_md","seq_dom","seq_dict_md_prop","acr_sn_md","acron_mot_dict","verr_dict_md","det_equiv_dict_md","det_categ_dict_md","det_mc_dict_md","det_fils_dict_md"
2232,"MPO.OXV_","MPO.OXV_","OXV_","MPO.OXV_","MPO.OXV_","Tension d'oxygène brute.",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","OXV_",NULL,0,3,3,0
2252,"MPO.GEAR","MPO.GEAR","GEAR","MPO.GEAR","MPO.GEAR","stores information on the equipment used to collect samples or measure properties in situ.",-1,NULL,NULL,NULL,1,847,NULL,"MPO","GEAR",0,0,3,0,0
2254,"MPO.UNIT","MPO.UNIT","UNIT","MPO.UNIT","MPO.UNIT","Stores information of units used to report measurement results.",-1,NULL,NULL,NULL,1,856,NULL,"MPO","UNIT",0,0,3,0,0
2255,"MPO.WVOL","MPO.WVOL","WVOL","MPO.WVOL","MPO.WVOL","Volume of water filtered through net (cubic meters).",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","WVOL",0,0,3,0,0
2256,"MPO.VMET","MPO.VMET","VMET","MPO.VMET","MPO.VMET","Stores the methods for the calculation of volumes.",-1,NULL,NULL,NULL,1,848,NULL,"MPO","VMET",0,0,3,0,0
2257,"MPO.LPLR","MPO.LPLR","LPLR","MPO.LPLR","MPO.LPLR","Procedure includes removal of large plankton ie. jellyfish.",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","LPLR",0,0,3,0,0
2258,"MPO.CMET","MPO.CMET","CMET","MPO.CMET","MPO.CMET","Stores information pertaining to the kind of tow: oblique, horizontal, vertical, unknown.",-1,NULL,NULL,NULL,1,849,NULL,"MPO","CMET",0,0,3,0,0
2259,"MPO.MSIZ","MPO.MSIZ","MSIZ","MPO.MSIZ","MPO.MSIZ","Net mesh size (microns).",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","MSIZ",0,0,3,0,0
2260,"MPO.PHDL","MPO.PHDL","PHDL","MPO.PHDL","MPO.PHDL","Used to identify the state or phase of the day (i.e. day-light, moonlight, twilight, etc.)",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","PHDL",0,0,3,0,0
2261,"MPO.CDID","MPO.CDID","CDID","MPO.CDID","MPO.CDID","Original label as provided by the data provider eg. IML95028CTD5",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","CDID",0,0,3,0,0
2262,"MPO.CSID","MPO.CSID","CSID","MPO.CSID","MPO.CSID","Secondary sample label ie. common identifier label.",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","CSID",0,0,3,0,0
2263,"MPO.PROC","MPO.PROC","PROC","MPO.PROC","MPO.PROC","Identifies the state of the analysis.",-1,NULL,NULL,NULL,1,850,NULL,"MPO","PROC",0,0,3,0,0
2264,"MPO.PRSV","MPO.PRSV","PRSV","MPO.PRSV","MPO.PRSV","Stores information on how a sample is preserved.",-1,NULL,NULL,NULL,1,851,NULL,"MPO","PRSV",0,0,3,0,0
2265,"MPO.STOR","MPO.STOR","STOR","MPO.STOR","MPO.STOR","Contains information on how sample was stored between collection and analysis.",-1,NULL,NULL,NULL,1,852,NULL,"MPO","STOR",0,0,3,0,0
2266,"MPO.MSQD","MPO.MSQD","MSQD","MPO.MSQD","MPO.MSQD","Meters squared flag [Y or N] Ok to use for standing stock calc.",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","MSQD",0,0,3,0,0
2268,"MPO.TAXN","MPO.TAXN","TAXN","MPO.TAXN","MPO.TAXN","Name of beast or group.",-1,NULL,NULL,NULL,1,844,NULL,"MPO","TAXN",0,0,6,0,0
2269,"MPO.TSN_","MPO.TSN_","TSN_","MPO.TSN_","MPO.TSN_","Standard ITIS code if applicable.",-1,NULL,NULL,NULL,1,843,NULL,"MPO","TSN_",0,0,6,0,0
2270,"MPO.BNO7","MPO.BNO7","BNO7","MPO.BNO7","MPO.BNO7","User specified 7 digit taxonomic reference number for organisms not yet classified.",-1,NULL,NULL,NULL,1,845,NULL,"MPO","BNO7",0,0,6,0,0
2271,"MPO.AUTH","MPO.AUTH","AUTH","MPO.AUTH","MPO.AUTH","Name of the individual credited with the discovery of an organism.",-1,NULL,NULL,NULL,1,846,NULL,"MPO","AUTH",0,0,6,0,0
2272,"MPO.CTAX","MPO.CTAX","CTAX","MPO.CTAX","MPO.CTAX","Nom de l'organisme selon le producteur de données",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","CTAX",0,0,6,0,0
