Vocabulary,name,Users,accepted_units,accepted_scale,accepted_instruments,calibration_review,apply_function,variable_name,long_name,units,instrument,scale,standard_name,sdn_parameter_urn,sdn_parameter_name,sdn_uom_urn,sdn_uom_name,definition,convention,GF3_name,SDN:P01::Alternative Name
GF3,BQA$,MEDS,,,,,,,,,,,,,,,,,,BQA$,
GF3,BQZ$,MEDS,,,,,,,,,,,,,,,,,,BQZ$,
GF3,BRIT,MEDS,degree Celsius,,,,,,,degree Celsius,,,,,,SDN:P06::UPAA,Degrees Celsius,,,BRIT,
GF3,BSD$,MEDS,hour,,,,,,,hour,,,,,,SDN:P06::UHOR,Hours,,,BSD$,
GF3,BTC1,MEDS,degree Celsius,,,,,,,degree Celsius,,,,,,SDN:P06::UPAA,Degrees Celsius,,,BTC1,
GF3,BTN1,MEDS,,,,,,,,,,,,,,,,,,BTN1,
GF3,BTP$,MEDS,,,,,,,,,,,,,,,,,,BTP$,
GF3,BTR1,MEDS,degree Celsius,,,,,,,degree Celsius,,,,,,SDN:P06::UPAA,Degrees Celsius,,,BTR1,
GF3,BTS1,MEDS,degree Celsius,,,,,,,degree Celsius,,,,,,SDN:P06::UPAA,Degrees Celsius,,,BTS1,
GF3,BUTA,BIO,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,BUTA,
GF3,BUTL,BIO,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,BUTL,
GF3,BV7$,MEDS,volt,,,,,,,volt,,,,,,SDN:P06::UVLT,Volts,,,BV7$,
GF3,BYM$,MEDS,,,,,,,,,,,,,,,,,,BYM$,
GF3,C1C2,BIO,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,C1C2,
GF3,CALK,"BIO,IML,MEDS",millimole per metre cube,,,,,,,millimole per metre cube,,,,,,,,,,CALK,
GF3,CAPO,MEDS,microgram per litre,,,,,,,microgram per litre,,,,,,SDN:P06::UGPL,Micrograms per litre,,,CAPO,
GF3,CARO,BIO,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,CARO,
GF3,CAST,MEDS,,,,,,,,,,,,,,,,,,CAST,
GF3,CBDV,BIO,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,CBDV,
GF3,CCCC,MEDS,,,,,,,,,,,,,,,,,,CCCC,
GF3,CCLL,MEDS,,,,,,,,,,,,,,,,,,CCLL,
GF3,CCVR,MEDS,,,,,,,,,,,cloud_area_fraction,,,,,,,CCVR,
GF3,CDE$,MEDS,second,,,,,,,second,,,,,,SDN:P06::UTBB,Seconds,,,CDE$,
GF3,CDID,MEDS,,,,,,,,,,,,,,,,Original label as provided by the data provider eg. IML95028CTD5,,CDID,
GF3,CDOM,"BIO,MEDS",mg/m^3,,,,,CDOMZZ01,,mg/m^3,,,,SDN:P01::CDOMZZ01,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,SDN:P06::UMMC,Milligrams per cubic metre,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,,CDOM,CDOM_fluor
GF3,CNTR,"BIO,IML,MEDS",dimensionless,,,,,,,,,,,,,SDN:P06::UUUU,Dimensionless,,,CNTR,
GF3,CDOR,MEDS,relative,,,,,,,relative,,,,,,,,,,CDOR,
GF3,CDWT,BIO,,,,,,,,,,,,,,,,,,CDWT,
GF3,CDX1,MEDS,milligram per litre,,,,,,,milligram per litre,,,,,,SDN:P06::UMGL,Milligrams per litre,,,CDX1,
GF3,CFLG,MEDS,,,,,,,,,,,,,,,,,,CFLG,
GF3,CHAN,MEDS,,,,,,,,,,,,,,,,,,CHAN,
GF3,CHB$,MEDS,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,CHB$,
GF3,CHC$,MEDS,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,CHC$,
GF3,CHCH,MEDS,,,,,,,,,,,,,,,,,,CHCH,
GF3,CHLR,"BIO,IML,MEDS",gram per kilogram|g/kg,,,,,,,gram per kilogram,,,,,,SDN:P06::UGKG,Grams per kilogram,,,CHLR,
GF3,CHLS,"BIO,IML,MEDS",kilogram per metre cube|kg/m^3,,,,,CLXXIETX,,kilogram per metre cube,,,,SDN:P01::CLXXIETX,Concentration of chloride {Cl- CAS 16887-00-6} per unit volume of the water body [dissolved plus reactive particulate phase] by ion-selective electrode,SDN:P06::UKMC,Kilograms per cubic metre,Concentration of chloride {Cl- CAS 16887-00-6} per unit volume of the water body [dissolved plus reactive particulate phase] by ion-selective electrode,,CHLS,Cl-
GF3,CIDA,BIO,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,CIDA,
GF3,CLC3,BIO,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,CLC3,
GF3,CLCL,MEDS,,,,,,,,,,,,,,,,,,CLCL,
GF3,CLCM,MEDS,,,,,,,,,,,,,,,,,,CLCM,
GF3,CLDA,MEDS,,,,,,,,,,,,,,,,,,CLDA,
GF3,CLDB,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,CLDB,
GF3,CLDH,MEDS,,,,,,,,,,,,,,,,,,CLDH,
GF3,CLDT,MEDS,,,,,,,,,,,,,,,,,,CLDT,
GF3,CLN$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,CLN$,
GF3,CLW1,MEDS,,,,,,,,,,,,,,,,,,CLW1,
GF3,CLW2,MEDS,,,,,,,,,,,,,,,,,,CLW2,
GF3,CLW3,MEDS,hertz,,,,,,,hertz,,,,,,SDN:P06::UTHZ,Hertz,,,CLW3,
GF3,CLW4,MEDS,percent,,,,,,,percent,,,,,,SDN:P06::UPCT,Percent,,,CLW4,
GF3,CLW5,MEDS,hertz,,,,,,,hertz,,,,,,SDN:P06::UTHZ,Hertz,,,CLW5,
GF3,CLW6,MEDS,hertz,,,,,,,hertz,,,,,,SDN:P06::UTHZ,Hertz,,,CLW6,
GF3,CLW7,MEDS,metre per hertz,,,,,,,metre per hertz,,,,,,,,,,CLW7,
GF3,CLW8,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,CLW8,
GF3,CMCM,MEDS,,,,,,,,,,,,,,,,,,CMCM,
GF3,CMET,"BIO,MEDS",,,,,,,,,,,,,,,,,,CMET,
GF3,CMNT,"BIO,MEDS",,,,,,,,,,,,,,,,,,CMNT,
GF3,CMTM,"BIO,IML",,,,,,,,,,,time,,,,,,,CMTM,
GF3,CNDC,"BIO,IML,MEDS",mhos/m|mho per metre|S/m,,,,,CNDCZZ01,,mhos/m,,,sea_water_electrical_conductivity,SDN:P01::CNDCZZ01,Electrical conductivity of the water body,,,Electrical conductivity of the water body,,CNDC,Cond
GF3,CNQF,MEDS,,,,,,,,,,,,,,,,,,CNQF,
GF3,CNTR,"BIO,IML,MEDS",dimensionless,,,,,,,dimensionless,,,,,,SDN:P06::UUUU,Dimensionless,,,CNTR,
GF3,CNTS,"BIO,MEDS",,,,,,,,,,,,,,,,,,CNTS,
GF3,CNV$,MEDS,,,,,,,,,,,,,,,,,,CNV$,
GF3,COLL,BIO,,,,,,,,,,,,,,,,,,COLL,
GF3,COND,"BIO,IML",millimho|mmHo,,,,,,,millimho,,,sea_water_electrical_conductivity,,,,,,,COND,
GF3,CORG,"BIO,IML,MEDS",mmol/m^3|millimole per metre cube,,,,,,,mmol/m^3,,,mole_concentration_of_dissolved_organic_carbon_in_sea_water,,,SDN:P06::MMCM,Millimoles per cubic metre,,,CORG,
GF3,CP1$,MEDS,centibars,,,,,,,centibars,,,,,,,,,,CP1$,
GF3,CPCT,"BIO,MEDS",percent,,,,,,,percent,,,,,,SDN:P06::UPCT,Percent,,,CPCT,
GF3,CPH$,MEDS,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,CPH$,
